"constraint_catalog","constraint_schema","constraint_name","table_catalog","table_schema","table_name","constraint_type","is_deferrable","initially_deferred","enforced","nulls_distinct"
"neondb","public","bookings_service_type_check","neondb","public","bookings","CHECK","NO","NO","YES",
"neondb","public","2200_58455_1_not_null","neondb","public","bookings","CHECK","NO","NO","YES",
"neondb","public","2200_58455_4_not_null","neondb","public","bookings","CHECK","NO","NO","YES",
"neondb","public","2200_58455_6_not_null","neondb","public","bookings","CHECK","NO","NO","YES",
"neondb","public","2200_58455_8_not_null","neondb","public","bookings","CHECK","NO","NO","YES",
"neondb","public","bookings_provider_id_fkey","neondb","public","bookings","FOREIGN KEY","NO","NO","YES",
"neondb","public","bookings_user_id_fkey","neondb","public","bookings","FOREIGN KEY","NO","NO","YES",
"neondb","public","bookings_pkey","neondb","public","bookings","PRIMARY KEY","NO","NO","YES",
"neondb","public","bookings_payment_status_check","neondb","public","bookings","CHECK","NO","NO","YES",
"neondb","public","bookings_status_check","neondb","public","bookings","CHECK","NO","NO","YES",
"neondb","public","payments_transaction_id_key","neondb","public","payments","UNIQUE","NO","NO","YES","YES"
"neondb","public","2200_58499_5_not_null","neondb","public","payments","CHECK","NO","NO","YES",
"neondb","public","payments_pkey","neondb","public","payments","PRIMARY KEY","NO","NO","YES",
"neondb","public","payments_payment_status_check","neondb","public","payments","CHECK","NO","NO","YES",
"neondb","public","payments_user_id_fkey","neondb","public","payments","FOREIGN KEY","NO","NO","YES",
"neondb","public","2200_58499_4_not_null","neondb","public","payments","CHECK","NO","NO","YES",
"neondb","public","2200_58499_1_not_null","neondb","public","payments","CHECK","NO","NO","YES",
"neondb","public","payments_payment_method_check","neondb","public","payments","CHECK","NO","NO","YES",
"neondb","public","payments_booking_id_fkey","neondb","public","payments","FOREIGN KEY","NO","NO","YES",
"neondb","public","reviews_rating_check","neondb","public","reviews","CHECK","NO","NO","YES",
"neondb","public","reviews_pkey","neondb","public","reviews","PRIMARY KEY","NO","NO","YES",
"neondb","public","reviews_user_id_fkey","neondb","public","reviews","FOREIGN KEY","NO","NO","YES",
"neondb","public","reviews_provider_id_fkey","neondb","public","reviews","FOREIGN KEY","NO","NO","YES",
"neondb","public","2200_58479_1_not_null","neondb","public","reviews","CHECK","NO","NO","YES",
"neondb","public","service_providers_service_type_check","neondb","public","service_providers","CHECK","NO","NO","YES",
"neondb","public","2200_58436_3_not_null","neondb","public","service_providers","CHECK","NO","NO","YES",
"neondb","public","2200_58436_1_not_null","neondb","public","service_providers","CHECK","NO","NO","YES",
"neondb","public","service_providers_user_id_fkey","neondb","public","service_providers","FOREIGN KEY","NO","NO","YES",
"neondb","public","service_providers_pkey","neondb","public","service_providers","PRIMARY KEY","NO","NO","YES",
"neondb","public","service_providers_rating_check","neondb","public","service_providers","CHECK","NO","NO","YES",
"neondb","public","service_providers_experience_check","neondb","public","service_providers","CHECK","NO","NO","YES",
"neondb","public","spatial_ref_sys_srid_check","neondb","public","spatial_ref_sys","CHECK","NO","NO","YES",
"neondb","public","2200_57666_1_not_null","neondb","public","spatial_ref_sys","CHECK","NO","NO","YES",
"neondb","public","spatial_ref_sys_pkey","neondb","public","spatial_ref_sys","PRIMARY KEY","NO","NO","YES",
"neondb","public","user_addresses_user_id_fkey","neondb","public","user_addresses","FOREIGN KEY","NO","NO","YES",
"neondb","public","2200_32801_1_not_null","neondb","public","user_addresses","CHECK","NO","NO","YES",
"neondb","public","user_addresses_pkey","neondb","public","user_addresses","PRIMARY KEY","NO","NO","YES",
"neondb","public","user_auth_providers_provider_provider_user_id_key","neondb","public","user_auth_providers","UNIQUE","NO","NO","YES","YES"
"neondb","public","user_auth_providers_pkey","neondb","public","user_auth_providers","PRIMARY KEY","NO","NO","YES",
"neondb","public","2200_32847_1_not_null","neondb","public","user_auth_providers","CHECK","NO","NO","YES",
"neondb","public","user_auth_providers_user_id_fkey","neondb","public","user_auth_providers","FOREIGN KEY","NO","NO","YES",
"neondb","public","user_phones_user_id_fkey","neondb","public","user_phones","FOREIGN KEY","NO","NO","YES",
"neondb","public","user_phones_pkey","neondb","public","user_phones","PRIMARY KEY","NO","NO","YES",
"neondb","public","2200_32816_1_not_null","neondb","public","user_phones","CHECK","NO","NO","YES",
"neondb","public","user_sessions_user_id_fkey","neondb","public","user_sessions","FOREIGN KEY","NO","NO","YES",
"neondb","public","2200_32830_1_not_null","neondb","public","user_sessions","CHECK","NO","NO","YES",
"neondb","public","user_sessions_pkey","neondb","public","user_sessions","PRIMARY KEY","NO","NO","YES",
"neondb","public","users_pkey","neondb","public","users","PRIMARY KEY","NO","NO","YES",
"neondb","public","users_email_key","neondb","public","users","UNIQUE","NO","NO","YES","YES"
"neondb","public","users_firebase_uid_key","neondb","public","users","UNIQUE","NO","NO","YES","YES"
"neondb","public","2200_32782_3_not_null","neondb","public","users","CHECK","NO","NO","YES",
"neondb","public","2200_32782_4_not_null","neondb","public","users","CHECK","NO","NO","YES",
"neondb","public","2200_32782_2_not_null","neondb","public","users","CHECK","NO","NO","YES",
"neondb","public","2200_32782_1_not_null","neondb","public","users","CHECK","NO","NO","YES",
